n_neighbors,n_components,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
15,3,0,0.34579444,0.9886038975548025,True,"[13557, 15333, 7008, 5543, 12519, 12775]","['weed cocaine xanax coke mg mdma uk free ketamine best', 'bitcoin account help ticket card deposit support bank pgp carding', 'market empire dream nightmare mirror wall vendor samsara working marketplace', 'review vendor sample test mdma giveaway feedback lsd mg milkman', 'dread experience question anybody tried invite know bar lsd sub', 'vendor order update scammer package pack dispute shipping scam buyer']"
15,5,0,0.33857,1.0550551160414665,True,"[13873, 14343, 13233, 4883, 9319, 11084]","['weed cocaine xanax coke mg free mdma uk ketamine best', 'bitcoin help account ticket card deposit support pgp bank carding', 'vendor order scammer scam package pack experience shipping scamming exit', 'review vendor sample test mdma feedback mg lsd reviews testing', 'market empire dream nightmare update darknet dark mirror vendor onion', 'dread question bar know mdma ddos lsd sub happened looking']"
15,10,0,0.33621356,1.0751965018154577,True,"[13899, 12962, 4823, 14725, 9141, 11185]","['weed cocaine xanax coke mg free mdma uk ketamine price', 'vendor order scammer package pack scam experience shipping scamming uk', 'review vendor sample test mdma feedback mg reviews lsd testing', 'bitcoin help account ticket card deposit support bank pgp dispute', 'market empire dream nightmare update darknet dark mirror vendor wall', 'dread question know bar lsd ddos sub mdma happened looking']"
15,15,0,0.30580977,1.3414736344252818,True,"[17060, 8349, 12439, 10918, 11068, 6901]","['review weed cocaine xanax mg coke mdma vendor free ketamine', 'dispute update scammer link dark darknet scam onion web site', 'vendor order package pack experience shipping uk mdma lsd international', 'bitcoin ticket account card help deposit bank pgp support carding', 'source question bar lsd mdma know dread looking happened legit', 'market empire dream nightmare mirror wall vendor samsara working link']"
30,3,0,0.33303997,0.9801275230457939,False,"[6058, 12125, 9029, 11364, 11737, 16422]","['review sample vendor free giveaway test mdma samples mg lsd', 'bitcoin card account bank help pgp monero carding key wallet', 'order ticket dispute update support pack address package mod day', 'market empire dream vendor link nightmare scammer darknet dark mirror', 'source experience question lsd mdma know anybody bar tried dread', 'vendor weed xanax cocaine coke mdma uk best mg sale']"
30,5,0,0.2612371,1.3029351046496547,False,"[16665, 16749, 2899, 5033, 8896, 16493]","['weed cocaine xanax uk mdma coke vendor mg free best', 'card pgp carding monero key help need question guide id', 'update vacation new menu happy mode day news maintenance updated', 'review vendor sample test mdma feedback mg milkman cdnven testing', 'market empire dream nightmare link darknet dark mirror working onion', 'vendor order scammer bitcoin ticket account dispute support deposit address']"
30,10,0,0.3337799,1.0951495613881332,True,"[13694, 11700, 14325, 9217, 4885, 12914]","['weed cocaine xanax coke free mg mdma uk ketamine best', 'dread question lsd mdma sub know ddos bar looking happened', 'bitcoin help account ticket card deposit support bank pgp dispute', 'market empire dream nightmare update darknet dark mirror onion vendor', 'review vendor sample test mdma feedback mg milkman cdnven testing', 'vendor order scammer pack package scam experience shipping scamming international']"
30,15,0,0.33269095,1.0946760595592913,False,"[13836, 11583, 12775, 9174, 14499, 4868]","['weed cocaine xanax coke free mg mdma uk ketamine best', 'dread question lsd sub know mdma ddos bar happened looking', 'vendor order scammer pack package scam experience shipping scamming international', 'market empire dream nightmare update darknet dark mirror onion vendor', 'bitcoin help account ticket card deposit support dispute bank pgp', 'review vendor sample test mdma feedback mg cdnven testing milkman']"
40,3,0,0.33509758,0.9731328691048606,True,"[6190, 9028, 11878, 11152, 17093, 11394]","['review sample vendor free giveaway test mdma samples mg lsd', 'order ticket dispute update support address pack package mod deposit', 'bitcoin card account bank help pgp carding monero key wallet', 'market empire dream vendor link nightmare scammer darknet dark mirror', 'vendor weed xanax cocaine coke mdma uk best mg sale', 'source question dread lsd mdma know bar looking happened legit']"
40,5,0,0.3359441,1.0668804369962388,True,"[4908, 12053, 11967, 14602, 9864, 13341]","['review vendor sample test mdma feedback mg milkman cdnven testing', 'dread question source mdma sub lsd know looking ddos bar', 'vendor order pack package experience shipping international delivery buyer vacation', 'bitcoin account help ticket card deposit dispute support bank pgp', 'market empire dream update nightmare link darknet dark mirror working', 'weed cocaine xanax coke free mg mdma uk ketamine best']"
40,10,0,0.33306763,1.0991226731308752,True,"[13797, 11736, 14281, 9192, 4893, 12836]","['weed cocaine xanax coke free mg mdma uk ketamine best', 'dread question lsd sub mdma know ddos happened bar looking', 'bitcoin help account ticket card deposit support dispute bank pgp', 'market empire dream update nightmare darknet dark mirror onion vendor', 'review vendor sample test mdma feedback mg cdnven milkman testing', 'vendor order scammer pack package scam experience shipping scamming international']"
40,15,0,0.29433784,1.2352926834982279,True,"[16663, 11273, 12550, 11611, 5624, 9014]","['review weed cocaine xanax mg coke free mdma vendor ketamine', 'ticket dispute help support account pgp deposit address key link', 'vendor order scammer pack package experience shipping uk mdma looking', 'source question dread mdma lsd bar know looking ddos legit', 'bitcoin card bank carding monero paypal wallet id guide credit', 'market empire dream nightmare update darknet dark mirror vendor onion']"
50,3,0,0.3163954,1.0387441614405386,False,"[5949, 13190, 12330, 14946, 9619, 10701]","['review sample vendor free giveaway test mdma samples mg feedback', 'pack dread question package experience lsd mdma know international day', 'market vendor dream nightmare update scammer darknet scam dark exit', 'weed xanax cocaine coke uk mdma vendor best mg ketamine', 'order dispute ticket empire account link support address mod key', 'bitcoin card bank carding monero help wallet need btc paypal']"
50,5,0,0.33751592,1.0705314553280936,False,"[13857, 13303, 11834, 9899, 13027, 4815]","['weed cocaine xanax coke free mg mdma uk ketamine best', 'bitcoin help account ticket card deposit support dispute bank pgp', 'dread question sub mdma lsd know ddos bar happened looking', 'market empire dream update nightmare link darknet dark mirror working', 'vendor order scammer pack package scam experience shipping scamming international', 'review vendor sample test mdma feedback mg cdnven testing lsd']"
50,10,0,0.29498762,1.2395029796675459,True,"[16613, 5631, 9066, 12463, 11694, 11268]","['review weed cocaine xanax mg coke mdma free vendor ketamine', 'bitcoin card bank carding monero paypal wallet id guide credit', 'market empire dream nightmare update darknet dark mirror onion vendor', 'vendor order pack package experience scammer shipping uk mdma lsd', 'source dread question mdma lsd bar looking know ddos legit', 'ticket dispute help support account pgp deposit address key scammer']"
50,15,0,0.30060425,1.1883681390238703,True,"[16148, 9894, 14052, 11665, 8390, 6586]","['review weed cocaine xanax mg coke free vendor ketamine mdma', 'vendor mdma scammer experience uk sale looking best lsd new', 'bitcoin account ticket help card deposit bank carding pgp support', 'source question dread lsd mdma bar looking know ddos sub', 'market empire dream nightmare darknet dark mirror onion vendor web', 'order dispute update pack package mod day time refund ordered']"
60,3,0,0.348647,0.9707855879585713,False,"[13348, 10213, 8138, 15751, 5375, 13910]","['weed cocaine xanax coke mg mdma uk free ketamine best', 'vendor scammer scam fake darknet dark legit scamming web exit', 'market empire dream update nightmare mirror vendor wall link working', 'order pack package experience question dread day shipping know ordered', 'review vendor sample giveaway test mdma feedback mg milkman cdnven', 'bitcoin help account ticket dispute card deposit support bank pgp']"
60,5,0,0.33860254,1.0719325008727214,True,"[13721, 11874, 9844, 4857, 12916, 13523]","['weed cocaine xanax coke free mg mdma uk ketamine best', 'dread question sub lsd mdma know ddos bar happened looking', 'market empire dream update nightmare link darknet dark mirror working', 'review vendor sample test feedback mdma mg reviews cdnven testing', 'vendor order scammer pack package scam experience shipping scamming international', 'bitcoin help account ticket card deposit support dispute bank pgp']"
60,10,0,0.2879555,1.3227573773499846,True,"[16637, 12651, 12032, 6651, 11323, 7441]","['review weed cocaine xanax mg coke mdma free vendor ketamine', 'vendor order package pack experience shipping uk mdma international lsd', 'source dread question mdma lsd bar looking know legit ddos', 'scammer link dark scam darknet web onion site forum warning', 'bitcoin ticket help account card deposit dispute support bank carding', 'market empire dream nightmare update mirror wall vendor working link']"
60,15,0,0.3354731,1.0989974097436435,True,"[13738, 12802, 4841, 12034, 13558, 9762]","['weed cocaine xanax coke free mg mdma uk ketamine best', 'vendor order scammer pack package experience scam shipping scamming international', 'review vendor sample test feedback mdma mg reviews cdnven testing', 'dread question sub mdma know lsd ddos bar happened day', 'bitcoin help account ticket card deposit support dispute bank pgp', 'market empire dream update nightmare link darknet dark mirror working']"
